Unnamed: 0,Net Income,Shares Outstanding (Basic),Dividend Per Share,EBIT,EBITDA,Revenue,Accion
2022-03-31,928.5,418.1,1.04,1208.3,1337.3,4513,ADP
2021-12-31,694.4,419.8,1.04,928.5,1055,4025.4,ADP
2021-09-30,700.5,421.4,0.93,919.3,1048.4,3832.3,ADP
2021-06-30,538.2,423.3,0.93,714.4,840.4,3737,ADP
2021-03-31,810.7,425.8,0.93,1079.7,1206.6,4102,ADP
2020-12-31,647.5,427.4,0.93,846.5,973.2,3695.7,ADP
2020-09-30,602.1,428.6,0.91,780.3,911.4,3470.7,ADP
2020-06-30,411.6,429,0.91,546.9,671.4,3376.8,ADP
2020-03-31,820.9,430,0.91,1096.7,1217.3,4047.8,ADP
2019-12-31,651.6,431.5,0.91,867.1,984.7,3669.5,ADP
2019-09-30,582.4,432.7,0.79,779,896.3,3495.7,ADP
2019-06-30,475.4,433.5,0.79,667,776.4,3479.3,ADP
2019-03-31,753.7,434.1,0.79,1006.2,1109.3,3828.2,ADP
2018-12-31,558.2,435.7,0.79,779.6,877.1,3492.4,ADP
2018-09-30,505.4,436.8,0.69,682.7,781.7,3310.3,ADP
2018-06-30,140.9,437.9,0.69,283.5,382.8,3262.7,ADP
2018-03-31,661,441,0.63,893.8,990.1,3696,ADP
2017-12-31,670.4,441.3,0.63,615,709.8,3238.3,ADP
2017-09-30,412.6,442.2,0.57,592.9,680.1,3077.2,ADP
2017-06-30,320.2,444.5,0.57,497,579.5,3057.1,ADP
2017-03-31,587.9,446.5,0.57,844.7,922.3,3410.8,ADP
2016-12-31,510.9,447.9,0.57,806.7,885.1,2987.3,ADP
2016-09-30,368.7,452.3,0.53,548.6,626.2,2916.9,ADP
2016-06-30,282,453.4,0.53,445.1,519,2898.3,ADP
2016-03-31,532.5,454.4,0.53,811.1,884.4,3248.6,ADP
2015-12-31,341.4,457.6,0.53,524.7,597.3,2807,ADP
