Unnamed: 0,Cash & Cash Equivalents,Total Assets,Total Liabilities,Shareholders' Equity,Total Long-Term Liabilities,Total Current Liabilities,Long-Term Debt,Current Debt,Accion
2007-07-31,3103.0,7024.0,3736.0,3288.0,2226.0,1510.0,1500.0,0.0,A
2007-04-30,3654.0,7283.0,3728.0,3555.0,2174.0,1554.0,1500.0,0.0,A
2007-01-31,3694.0,7193.0,3536.0,3657.0,2164.0,1372.0,1500.0,0.0,A
2006-10-31,3868.0,7369.0,3721.0,3648.0,2183.0,1538.0,1500.0,0.0,A
2006-07-31,3854.0,7729.0,3937.0,3792.0,2258.0,1679.0,1500.0,0.0,A
2006-04-30,2657.0,8057.0,3983.0,4074.0,2199.0,1784.0,1500.0,0.0,A
2006-01-31,2737.0,8026.0,3844.0,4182.0,2207.0,1637.0,1500.0,0.0,A
2005-10-31,2273.0,6751.0,2670.0,4081.0,734.0,1936.0,0.0,0.0,A
2005-07-31,2782.0,7352.0,3404.0,3948.0,1633.0,1771.0,1150.0,0.0,A
2005-04-30,2685.0,7268.0,3399.0,3869.0,1634.0,1765.0,1150.0,0.0,A
2005-01-31,2483.0,7150.0,3382.0,3768.0,1611.0,1771.0,1150.0,0.0,A
2004-10-31,2315.0,7144.0,3575.0,3569.0,1803.0,1772.0,1150.0,0.0,A
2004-07-31,1937.0,6741.0,3412.0,3329.0,1598.0,1814.0,1150.0,0.0,A
2004-04-30,1842.0,6675.0,3488.0,3187.0,1582.0,1906.0,1150.0,0.0,A
2004-01-31,1678.0,6384.0,3315.0,3069.0,1570.0,1745.0,1150.0,0.0,A
2003-10-31,1607.0,6297.0,3473.0,2824.0,1567.0,1906.0,1150.0,0.0,A
2003-07-31,1430.0,5990.0,3270.0,2720.0,1482.0,1788.0,1150.0,0.0,A
2003-04-30,1533.0,7617.0,3416.0,4201.0,1410.0,2006.0,1150.0,0.0,A
2003-01-31,1754.0,7770.0,3421.0,4349.0,1398.0,2023.0,1150.0,0.0,A
2002-10-31,1844.0,8203.0,3576.0,4627.0,1595.0,1981.0,1150.0,0.0,A
2002-07-31,2106.0,8437.0,3436.0,5001.0,1478.0,1958.0,1150.0,0.0,A
2002-04-30,2248.0,8238.0,3110.0,5128.0,1501.0,1609.0,1150.0,0.0,A
2002-01-31,2435.0,8493.0,3140.0,5353.0,1480.0,1660.0,1150.0,0.0,A
2001-10-31,1407.0,7986.0,2327.0,5659.0,325.0,2002.0,0.0,0.0,A
